               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.057375,            0.078735,            0.038282,              0.4573,             0.29879,             0.29587,             0.15054,            0.057592,            0.057694,            0.032838,            0.008812,            0.008812,            0.008812
                  38,             0.05731,            0.078402,            0.037958,             0.49182,             0.29698,             0.30123,             0.15543,            0.057162,            0.057391,            0.032259,            0.008779,            0.008779,            0.008779
                  39,            0.057243,            0.076343,            0.037013,             0.47096,              0.3161,             0.31474,             0.15821,            0.057302,            0.057464,            0.031283,            0.008746,            0.008746,            0.008746
                  40,            0.056362,            0.076471,            0.037414,             0.44355,             0.31806,             0.31558,             0.16245,            0.057281,            0.057125,            0.031303,            0.008713,            0.008713,            0.008713
                  41,            0.056572,            0.076321,            0.036191,             0.47772,             0.33019,             0.32153,             0.16702,            0.056737,            0.056391,            0.030978,             0.00868,             0.00868,             0.00868
                  42,             0.05681,            0.078168,            0.035267,             0.45914,             0.31486,             0.30755,             0.15628,            0.057255,            0.057443,            0.032268,            0.008647,            0.008647,            0.008647
                  43,            0.055951,            0.076792,            0.035743,             0.48225,             0.33871,             0.33266,             0.17131,            0.056303,             0.05632,            0.030004,            0.008614,            0.008614,            0.008614
                  44,            0.055873,             0.07641,            0.034995,             0.47596,             0.33254,              0.3335,             0.17244,            0.056134,            0.056385,            0.030553,            0.008581,            0.008581,            0.008581
                  45,            0.055566,            0.075284,            0.034478,             0.47659,             0.34201,             0.34085,             0.17786,             0.05583,            0.055886,            0.029799,            0.008548,            0.008548,            0.008548
                  46,            0.055389,            0.076661,            0.033921,             0.53185,             0.33956,             0.35143,             0.18434,            0.055523,             0.05535,            0.029538,            0.008515,            0.008515,            0.008515
                  47,            0.055289,            0.073998,            0.033912,             0.51379,             0.33813,              0.3477,             0.18265,            0.055458,            0.056077,            0.029036,            0.008482,            0.008482,            0.008482
                  48,            0.055079,            0.074025,            0.033177,             0.51956,              0.3377,             0.35302,             0.18671,            0.055703,              0.0561,            0.029992,            0.008449,            0.008449,            0.008449
                  49,            0.054901,            0.075405,            0.033532,             0.52071,             0.35983,             0.36567,             0.19253,            0.055043,            0.055371,            0.028481,            0.008416,            0.008416,            0.008416
                  50,             0.05509,            0.073833,            0.033025,             0.54099,             0.34302,             0.36179,             0.19226,            0.054823,            0.055332,            0.028765,            0.008383,            0.008383,            0.008383
                  51,            0.054271,            0.075104,            0.032546,             0.53712,             0.35918,             0.37218,             0.19751,            0.054801,            0.055156,            0.027803,             0.00835,             0.00835,             0.00835
                  52,             0.05413,            0.074189,             0.03153,             0.56178,             0.35901,             0.38715,              0.2062,             0.05419,            0.054692,            0.027273,            0.008317,            0.008317,            0.008317
                  53,            0.053758,            0.072284,            0.031356,             0.56294,             0.37071,             0.38972,             0.20735,            0.054467,            0.054331,            0.027036,            0.008284,            0.008284,            0.008284
                  54,            0.054342,            0.074455,             0.03108,             0.54377,             0.37512,             0.39955,             0.21411,            0.054289,            0.054474,            0.026937,            0.008251,            0.008251,            0.008251
                  55,            0.053796,            0.072291,             0.03106,             0.59196,             0.37094,               0.404,             0.21582,            0.053996,            0.054567,            0.026348,            0.008218,            0.008218,            0.008218
                  56,            0.053691,            0.073654,            0.030736,             0.55531,             0.38253,             0.40126,             0.21608,            0.054423,            0.054181,            0.026854,            0.008185,            0.008185,            0.008185
                  57,            0.053544,            0.072476,            0.030779,             0.56566,             0.38012,             0.40518,             0.21786,            0.053642,            0.054209,            0.026444,            0.008152,            0.008152,            0.008152
                  58,             0.05365,            0.074657,            0.029905,             0.59545,              0.3744,             0.41112,             0.22088,            0.053606,            0.053949,            0.025635,            0.008119,            0.008119,            0.008119
