               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.053758,             0.06698,            0.030359,             0.63904,             0.40762,             0.45686,             0.24925,            0.051789,            0.050252,            0.025285,            0.008812,            0.008812,            0.008812
                  38,            0.053791,            0.066874,            0.029927,             0.59119,              0.4243,             0.45154,             0.23845,            0.052357,            0.050357,             0.02543,            0.008779,            0.008779,            0.008779
                  39,            0.053655,            0.065211,            0.029445,             0.58638,             0.44911,             0.47145,             0.25217,            0.052003,            0.049606,            0.025106,            0.008746,            0.008746,            0.008746
                  40,            0.053022,            0.065252,             0.02947,             0.60596,             0.42779,             0.46051,             0.24796,            0.051622,            0.050031,            0.025219,            0.008713,            0.008713,            0.008713
                  41,            0.053172,            0.065216,            0.028471,             0.57919,             0.45351,             0.46895,             0.25537,            0.051843,            0.049775,            0.024871,             0.00868,             0.00868,             0.00868
                  42,            0.053111,            0.066977,            0.027779,             0.60939,              0.4551,             0.47697,             0.26353,            0.051102,            0.049088,            0.023923,            0.008647,            0.008647,            0.008647
                  43,             0.05269,             0.06547,            0.028137,             0.61561,             0.45814,             0.48623,             0.26458,            0.051313,             0.04964,            0.024043,            0.008614,            0.008614,            0.008614
                  44,            0.052838,            0.065602,            0.027723,             0.61243,             0.44869,             0.48356,             0.26514,            0.051143,             0.04914,            0.024091,            0.008581,            0.008581,            0.008581
                  45,            0.052494,            0.064517,            0.027291,             0.65273,             0.46201,             0.49704,              0.2761,            0.051179,            0.049253,            0.023489,            0.008548,            0.008548,            0.008548
                  46,            0.052398,            0.065937,            0.026841,             0.65289,             0.46034,             0.50762,             0.28237,            0.050553,            0.048727,            0.023596,            0.008515,            0.008515,            0.008515
                  47,            0.052047,            0.063583,            0.026771,             0.63861,             0.45413,             0.48861,             0.27159,            0.050719,            0.048926,             0.02335,            0.008482,            0.008482,            0.008482
                  48,            0.051833,            0.063936,            0.026401,             0.66586,             0.46359,             0.51217,             0.28486,             0.05079,            0.048773,            0.022417,            0.008449,            0.008449,            0.008449
                  49,            0.051614,            0.065034,            0.026434,             0.66333,             0.47132,             0.51538,             0.29213,            0.050384,            0.048635,            0.022521,            0.008416,            0.008416,            0.008416
                  50,            0.052134,            0.063909,            0.026334,             0.63657,             0.47056,             0.50647,             0.28163,            0.050548,            0.048854,            0.022277,            0.008383,            0.008383,            0.008383
                  51,            0.051534,            0.064849,            0.025777,             0.67036,             0.47629,             0.51937,             0.28689,            0.050298,            0.048751,            0.022395,             0.00835,             0.00835,             0.00835
                  52,            0.051536,            0.063924,            0.025079,             0.68258,             0.47138,             0.53072,             0.29905,            0.049993,            0.048639,            0.021576,            0.008317,            0.008317,            0.008317
                  53,            0.051137,            0.062557,               0.025,             0.67363,             0.47713,             0.52994,             0.29878,            0.050097,            0.048539,            0.021632,            0.008284,            0.008284,            0.008284
                  54,            0.051582,            0.064513,            0.024836,             0.68777,             0.48908,             0.53667,             0.30204,            0.049815,            0.048073,             0.02177,            0.008251,            0.008251,            0.008251
                  55,            0.050979,            0.062616,            0.024867,             0.67045,             0.48752,              0.5341,             0.30063,            0.049933,            0.048465,            0.021495,            0.008218,            0.008218,            0.008218
                  56,            0.051045,            0.063978,            0.024542,             0.69142,             0.48992,             0.53651,             0.30386,            0.049698,            0.047964,            0.021222,            0.008185,            0.008185,            0.008185
                  57,            0.050933,            0.063027,            0.024495,             0.67989,             0.49437,             0.54645,             0.30906,            0.049611,            0.048034,            0.021289,            0.008152,            0.008152,            0.008152
                  58,            0.051042,            0.064974,            0.023911,             0.70866,             0.50383,              0.5557,             0.31592,            0.049408,            0.047998,            0.021211,            0.008119,            0.008119,            0.008119
                  59,            0.050583,            0.062213,            0.023969,              0.6714,             0.50159,             0.54095,             0.30829,            0.049467,            0.048423,            0.020965,            0.008086,            0.008086,            0.008086
                  60,            0.050679,            0.062407,            0.023204,             0.69006,             0.50742,             0.55922,             0.32264,            0.049073,            0.047795,             0.02057,            0.008053,            0.008053,            0.008053
                  61,            0.050211,            0.062899,            0.022856,             0.68853,             0.50736,             0.56355,             0.32378,            0.049148,             0.04787,            0.020659,             0.00802,             0.00802,             0.00802
                  62,            0.050716,            0.063317,            0.023032,             0.69269,             0.51425,             0.56309,              0.3305,            0.048852,            0.047644,            0.020359,            0.007987,            0.007987,            0.007987
                  63,            0.050128,             0.06261,            0.022487,             0.69454,             0.51353,             0.56373,             0.32934,            0.048945,            0.047702,            0.020265,            0.007954,            0.007954,            0.007954
                  64,            0.050204,            0.062659,            0.022875,             0.72426,             0.50493,             0.56491,               0.327,             0.04912,            0.047858,            0.020484,            0.007921,            0.007921,            0.007921
                  65,            0.050009,            0.061659,             0.02276,             0.71045,              0.5163,             0.57767,             0.33847,            0.048392,            0.047403,            0.019995,            0.007888,            0.007888,            0.007888
                  66,            0.050076,            0.062625,            0.022565,             0.70628,             0.51369,             0.56698,             0.32903,            0.048707,            0.047415,            0.019959,            0.007855,            0.007855,            0.007855
                  67,            0.049864,            0.062752,            0.022357,             0.70381,             0.52684,             0.57913,             0.33988,            0.048468,            0.047182,             0.01963,            0.007822,            0.007822,            0.007822
                  68,            0.049829,            0.061694,            0.022124,             0.72497,             0.51512,             0.57282,             0.33733,            0.048154,            0.046976,            0.019771,            0.007789,            0.007789,            0.007789
