               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.05459,             0.06994,            0.036155,             0.47606,             0.35358,             0.34631,             0.18567,            0.052784,            0.052348,            0.030378,            0.008812,            0.008812,            0.008812
                  38,            0.054795,            0.069713,             0.03579,             0.45497,             0.37339,             0.36121,                0.19,            0.052973,            0.051531,            0.030267,            0.008779,            0.008779,            0.008779
                  39,            0.054429,             0.06804,            0.035184,             0.48554,             0.35807,             0.36357,             0.19453,            0.052454,            0.051494,             0.03012,            0.008746,            0.008746,            0.008746
                  40,            0.053896,            0.068157,            0.035311,             0.50767,             0.36639,             0.37036,             0.19554,            0.052471,            0.051684,            0.029754,            0.008713,            0.008713,            0.008713
                  41,            0.054147,            0.067993,            0.034288,             0.49321,             0.38792,              0.3808,             0.20426,            0.052325,             0.05118,            0.029418,             0.00868,             0.00868,             0.00868
                  42,            0.053849,             0.06996,            0.033359,             0.49687,             0.37617,             0.38197,             0.20368,            0.051786,            0.051136,            0.028582,            0.008647,            0.008647,            0.008647
                  43,            0.053591,            0.068385,            0.033538,               0.515,             0.37649,             0.37965,             0.20658,            0.052509,            0.051379,            0.029253,            0.008614,            0.008614,            0.008614
                  44,            0.053744,             0.06826,            0.033059,             0.52266,             0.38021,             0.38885,             0.21173,            0.051775,            0.051513,            0.028313,            0.008581,            0.008581,            0.008581
                  45,            0.053294,            0.067679,            0.032788,              0.5061,             0.38868,             0.39812,             0.21093,            0.052054,            0.051091,             0.02801,            0.008548,            0.008548,            0.008548
                  46,            0.053239,            0.068667,            0.032242,             0.53272,             0.39158,             0.40324,             0.21913,            0.051671,            0.050499,            0.027497,            0.008515,            0.008515,            0.008515
                  47,            0.053153,             0.06673,            0.032157,             0.52569,             0.39402,             0.40358,             0.22113,            0.051558,            0.050873,            0.027643,            0.008482,            0.008482,            0.008482
                  48,            0.052892,            0.066765,            0.031588,             0.55002,             0.39115,             0.41735,             0.22693,            0.051394,            0.050775,            0.027372,            0.008449,            0.008449,            0.008449
                  49,            0.052588,            0.067978,            0.031681,             0.53562,             0.40733,             0.42532,             0.23336,            0.051259,            0.050412,            0.026635,            0.008416,            0.008416,            0.008416
                  50,            0.053123,            0.066483,            0.031445,             0.51813,             0.41213,             0.41395,             0.22338,            0.051565,            0.050409,            0.026305,            0.008383,            0.008383,            0.008383
                  51,            0.052552,            0.067777,            0.030899,             0.58221,             0.40231,             0.43441,             0.24051,            0.051003,            0.050357,            0.026105,             0.00835,             0.00835,             0.00835
                  52,            0.052272,            0.067137,            0.030382,             0.53492,              0.4245,             0.42771,             0.23733,            0.050927,            0.050517,            0.026128,            0.008317,            0.008317,            0.008317
                  53,            0.051925,              0.0656,            0.030416,             0.54989,             0.42207,             0.43623,              0.2426,            0.050957,            0.049762,            0.025797,            0.008284,            0.008284,            0.008284
                  54,            0.052278,            0.067693,            0.030075,              0.5631,             0.42009,             0.45044,             0.25184,            0.050517,            0.049822,            0.025541,            0.008251,            0.008251,            0.008251
                  55,            0.052108,             0.06534,             0.03013,             0.59459,             0.40523,             0.44445,             0.24993,            0.050616,             0.04979,            0.025955,            0.008218,            0.008218,            0.008218
                  56,            0.051896,             0.06655,            0.029558,             0.57095,              0.4259,             0.45792,             0.25526,            0.050609,            0.049857,            0.025709,            0.008185,            0.008185,            0.008185
                  57,            0.051658,            0.066042,            0.029589,              0.5804,             0.42488,             0.45611,             0.25458,            0.050637,            0.049651,            0.025258,            0.008152,            0.008152,            0.008152
                  58,            0.052091,            0.067847,            0.029127,             0.59394,             0.44347,             0.47022,             0.26037,            0.050058,            0.049274,            0.024725,            0.008119,            0.008119,            0.008119
                  59,            0.051263,            0.064976,            0.029198,             0.58249,             0.43613,             0.46342,             0.25797,             0.05025,            0.049752,            0.024429,            0.008086,            0.008086,            0.008086
                  60,            0.052002,            0.065063,            0.028254,             0.59956,             0.44861,             0.47989,             0.27366,            0.049935,            0.048996,            0.023991,            0.008053,            0.008053,            0.008053
                  61,            0.051433,            0.065692,            0.027704,             0.58588,             0.44014,             0.47486,             0.26777,            0.049847,            0.049509,            0.024297,             0.00802,             0.00802,             0.00802
                  62,            0.051499,            0.066136,            0.028134,             0.61952,             0.44983,             0.49172,             0.27853,             0.04978,            0.048931,            0.023884,            0.007987,            0.007987,            0.007987
                  63,            0.051045,            0.065138,            0.027321,             0.63956,             0.43977,              0.4854,              0.2781,            0.049506,            0.048683,            0.023458,            0.007954,            0.007954,            0.007954
                  64,            0.051206,            0.065448,            0.027859,             0.63544,             0.44407,             0.48912,             0.27818,            0.049581,            0.049246,            0.023436,            0.007921,            0.007921,            0.007921
                  65,            0.050979,            0.064337,            0.027374,             0.63463,             0.46602,             0.50171,             0.28679,            0.049321,            0.048896,            0.023222,            0.007888,            0.007888,            0.007888
                  66,            0.051121,            0.065319,            0.027169,             0.64706,             0.45555,             0.49901,             0.28493,            0.049145,            0.048638,             0.02336,            0.007855,            0.007855,            0.007855
                  67,            0.050877,            0.065354,            0.027001,             0.63272,             0.45823,             0.49478,             0.28568,            0.049224,            0.049093,            0.023337,            0.007822,            0.007822,            0.007822
                  68,            0.050749,            0.064155,            0.026823,             0.64544,             0.45699,             0.50705,             0.29342,            0.048857,             0.04847,            0.023053,            0.007789,            0.007789,            0.007789
                  69,            0.050906,            0.064953,            0.026662,             0.66712,             0.46861,             0.51637,             0.29915,            0.048936,            0.048338,            0.022627,            0.007756,            0.007756,            0.007756
                  70,            0.050365,            0.064239,            0.026254,               0.664,             0.46644,             0.51215,             0.29975,            0.048805,            0.048422,             0.02279,            0.007723,            0.007723,            0.007723
                  71,            0.050378,            0.064441,            0.026012,              0.6614,             0.47711,             0.52356,             0.30579,            0.048778,            0.048089,            0.022238,             0.00769,             0.00769,             0.00769
                  72,            0.050047,            0.063278,            0.025916,             0.65551,             0.47878,             0.52214,             0.30356,            0.048745,            0.048428,            0.022383,            0.007657,            0.007657,            0.007657
                  73,            0.049973,            0.063378,            0.025601,             0.66636,             0.47787,             0.52489,             0.30296,            0.048647,            0.048031,            0.021998,            0.007624,            0.007624,            0.007624
                  74,            0.049924,            0.063239,             0.02546,             0.64043,             0.47633,             0.51718,              0.3021,            0.048404,            0.048156,            0.021982,            0.007591,            0.007591,            0.007591
                  75,            0.049779,             0.06323,            0.025672,             0.63639,             0.48583,             0.52352,             0.30427,            0.048419,            0.048017,            0.021767,            0.007558,            0.007558,            0.007558
                  76,            0.049919,            0.064021,            0.024475,             0.67725,             0.48725,             0.53101,             0.30563,             0.04857,            0.048259,             0.02172,            0.007525,            0.007525,            0.007525
                  77,            0.049842,            0.063778,            0.025221,             0.69657,             0.47719,             0.53509,             0.31419,            0.048443,            0.047521,            0.021635,            0.007492,            0.007492,            0.007492
                  78,            0.049505,            0.063248,            0.025247,             0.66567,             0.48242,             0.53853,             0.31323,            0.048137,             0.04767,            0.021434,            0.007459,            0.007459,            0.007459
                  79,            0.049522,            0.063355,            0.024644,             0.68394,             0.48784,             0.53801,             0.31681,            0.048138,            0.047897,            0.021403,            0.007426,            0.007426,            0.007426
                  80,            0.049329,            0.062988,            0.024876,             0.69762,             0.48784,             0.54334,             0.32091,             0.04797,            0.047654,            0.021287,            0.007393,            0.007393,            0.007393
